Name;Unicode point;UTF-8 encoding
LETTRE  A;U+0041;41
LETTRE  a;U+0061;61
LETTRE  A AVEC ACCENT AIGU;U+00c1;c3 - 81
LETTRE  a AVEC ACCENT AIGU;U+00e1;c3 - a1
LETTRE  A AVEC ACCENT CIRCONFLEXE;U+00c2;c3 - 82
LETTRE  a AVEC ACCENT CIRCONFLEXE;U+00e2;c3 - a2
LETTRE  A AVEC ACCENT EN v;U+0102;c4 - 82
LETTRE  a AVEC ACCENT EN v;U+0103;c4 - 83
LETTRE  a ogonek;U+0105;c4 - 85
LETTRE  A AVEC ACCENT GRAVE;U+00c0;c3 - 80
LETTRE  a AVEC ACCENT GRAVE;U+00e0;c3 - a0
LETTRE  a AVEC APOSTROPHE;U+0061 - U+0315;61 - cc - 95
LETTRE  a AVEC BARRE OBLIQUE;U+0061 - U+0338;61 - cc - b8
LETTRE  A AVEC BARRE VERTICALE;U+0041 - U+030d;41 - cc - 8d
LETTRE  a AVEC CEDILLE;U+0061 - U+0327;61 - cc - a7
LETTRE  a AVEC DOUBLE APOSTROPHE;U+00e4;c3 - a4
LETTRE  A AVEC ROND SUPERIEUR;U+00c5;c3 - 85
LETTRE  a AVEC ROND SUPERIEUR;U+00e5;c3 - a5
LETTRE  A AVEC TILDE;U+00c3;c3 - 83
LETTRE  a AVEC TILDE;U+00e3;c3 - a3
LETTRE  A AVEC TREMA;U+00c4;c3 - 84
LETTRE  a AVEC TREMA;U+00e4;c3 - a4
LETTRE  B;U+0042;42
LETTRE  b;U+0062;62
LETTRE  b AVEC ACCENT AIGU;U+0062 - U+0301;62 - cc - 81
LETTRE  b AVEC CEDILLE;U+0062 - U+0327;62 - cc - a7
LETTRE  B AVEC TREMA;U+0042 - U+0308;42 - cc - 88
LETTRE  C;U+0043;43
LETTRE  c;U+0063;63
LETTRE  C AVEC ACCENT AIGU;U+0106;c4 - 86
LETTRE  c AVEC ACCENT AIGU;U+0107;c4 - 87
LETTRE  C AVEC ACCENT CIRCONFLEXE;U+0108;c4 - 88
LETTRE  c AVEC ACCENT CIRCONFLEXE;U+0109;c4 - 89
LETTRE  C AVEC ACCENT EN v;U+010c;c4 - 8c
LETTRE  c AVEC ACCENT EN v;U+010d;c4 - 8d
LETTRE  C AVEC ACCENT GRAVE;U+0043 - U+0300;43 - cc - 80
LETTRE  c AVEC ACCENT GRAVE;U+0063 - U+0300;63 - cc - 80
LETTRE  c AVEC APOSTROPHE;U+0063 - U+0315;63 - cc - 95
LETTRE  c AVEC BARRE OBLIQUE;U+0063 - U+0338;63 - cc - b8
LETTRE  C AVEC BARRE VERTICALE;U+0043 - U+030d;43 - cc - 8d
LETTRE  C AVEC CEDILLE;U+00c7;c3 - 87
LETTRE  c AVEC CEDILLE;U+00e7;c3 - a7
LETTRE  C AVEC ROND SUPERIEUR, SIGNE DEGRE;U+010a;c4 - 8a
LETTRE  c AVEC ROND SUPERIEUR, SIGNE DEGRE;U+0063 - U+030a;63 - cc - 8a
LETTRE  C AVEC TILDE;U+0043 - U+0303;43 - cc - 83
